DAUID,Population Density per Square Kilometer
12090815,605.1
12090816,28.5
12090817,74.3
12090818,30.8
12090819,944.9
12090820,30.3
12090823,28.7
12090824,24.8
12090828,14.1
12090832,11.1
12090835,26.7
12090836,262.4
12090837,31.9
12090838,43.6
12090840,5103.9
12090841,5152.6
12090842,1357.4
12090843,1737.4
12090844,1962.1
12090845,0
12090846,457.7
12090847,3302
12090848,4141.4
12090849,3440.4
12090850,5161.3
12090851,4431.6
12090852,4951.5
12090853,8304.1
12090854,4464.3
12090855,8825.9
12090856,23713.5
12090858,9712.4
12090860,83250
12090863,14029.5
12090864,16589.7
12090865,20000
12090866,16391.8
12090867,17300.6
12090868,6583.6
12090869,8574.7
12090870,12792
12090871,6865.7
12090872,7027
12090873,6142.1
12090874,5915.7
12090875,5379.1
12090876,5144
12090877,8234.3
12090878,7315.9
12090879,1844.5
12090880,4548.5
12090881,5147.3
12090882,4347.5
12090883,6141.8
12090886,1395.2
12090888,2796.7
12090890,958
12090891,1813.3
12090892,4777.3
12090893,4467.4
12090894,2554.2
12090895,2350.6
12090896,2871.1
12090897,3620.6
12090898,677.7
12090899,83.9
12090900,377.7
12090902,1101
12090903,25.5
12090904,194.9
12090905,138.2
12090909,23.2
12090910,17.8
12090911,1.8
12090915,60
12090916,76.2
12090917,299.9
12090919,57.2
12090920,679.4
12090921,2.2
12090922,1.2
12090924,3
12090925,50.5
12090926,21.6
12090927,13
12090928,300
12090929,316.5
12090930,255
12090932,7.6
12090933,1.8
12090934,667
12090936,2880.8
12090937,4003.8
12090939,2473.9
12090941,69.6
12090942,96.8
12090943,29.5
12090944,61
12090945,56.9
12090947,464.2
12090948,446.3
12090950,1703.2
12090951,3539.1
12090952,73.5
12090954,144.7
12090955,414.2
12090956,8018
12090957,9865.6
12090958,6439.7
12090960,2753.5
12090962,2830.5
12090963,10033.6
12090965,10604.1
12090966,71.4
12090967,983.3
12090969,5956.8
12090970,6270.8
12090972,370.6
12090973,1419.4
12090974,2669.9
12090976,38.3
12090977,76.4
12090978,33.9
12090980,122.7
12090981,54
12090982,208.9
12090983,156.4
12090984,55.1
12090985,88.7
12090986,77.8
12090988,116.4
12090989,107.7
12090990,490.2
12090992,323.6
12090993,462.4
12090994,436
12090995,354.1
12090996,108.8
12090997,1375.9
12090998,24.4
12090999,528.8
12091000,145.4
12091001,34.2
12091002,1758.1
12091003,516.2
12091004,1660.3
12091005,1145.6
12091006,442.4
12091007,156.3
12091008,1413.2
12091010,3731
12091011,3318.1
12091012,2267.2
12091013,4337.8
12091014,753.1
12091015,12449.5
12091016,3117.3
12091017,310.5
12091018,1929.4
12091019,4.5
12091020,201
12091021,5331
12091022,3438.8
12091023,3433.2
12091024,232.1
12091025,15
1210,14.2
12100077,19.3
12100078,10.3
12100079,12.5
12100080,6
12100081,3.5
12100082,2.5
12100083,9.8
12100084,121
12100085,41.1
12100086,40.3
12100087,146
12100088,491.3
12100089,1266.7
12100090,435.7
12100091,948.4
12100092,728.8
12100093,377.8
12100094,626.2
12100095,590.6
12100096,647.4
12100097,10.4
12100098,5.4
12100099,6
12100100,2.7
12100101,4.7
12100102,1.8
12100103,42.4
12100104,107.7
12100105,855.7
12100106,462
12100107,728.8
12100108,795.9
12100109,916.4
12100110,3716.2
12100111,2465
12100112,1395.3
12100113,2076.7
12100114,3310.9
12100115,3679.9
12100116,2734
12100117,2869.2
12100118,943.4
12100119,1397.9
12100120,1883
12100121,540.9
12100122,323.7
12100123,56.5
12100124,521.6
12100125,2170
12100126,41
12100127,27.5
12100128,20
12100129,18.5
12100130,18.5
12100131,18.1
12100132,19.9
12100133,10
12100134,4.7
12100135,4.5
12100136,1.6
12100137,2.5
12100138,37.3
12100139,7.5
12100140,32.2
12100141,320
12100142,577.8
12100143,347.8
12100144,593.8
12100145,1257
12100146,1648.2
12100147,1834.9
12100148,386.7
12100149,267.5
12100150,210
12100151,160.2
12100152,65.5
12100153,19.5
12100154,6.4
12100155,6.6
12100156,44.9
12100157,477.6
12100158,2.4
12100159,10.2
12100160,18.7
12100161,21
12100162,6.2
12100163,106.7
12100164,99.2
12100165,70.2
12100166,4.5
12100167,3.3
12100168,5.3
12100169,1.8
12100170,2.8
1211,7.1
12110052,10
12110053,7
12110054,2.4
12110055,11.1
12110056,3.5
12110057,13.4
12110058,11.6
12110059,10.5
12110060,4.6
12110061,81.7
12110062,321.9
12110063,79
12110064,3.7
12110065,3.5
12110066,160.1
12110067,275.3
12110068,1417.7
12110069,1381.1
12110070,275.9
12110071,336.3
12110072,771.1
12110073,246.4
12110074,196.3
12110075,4.4
12110076,2.1
12110077,2.2
12110078,1.4
12110079,2.3
12110080,1.9
12110081,140.1
12110082,60.8
12110083,95
12110084,1.2
12110085,1
12110086,1.3
12110087,87.7
12110088,4.4
12110089,7
12110090,14.2
12110091,958.9
12110092,1803.3
12110093,1254.7
12110094,2135.9
12110095,540.8
12110096,2461.9
12110097,2242.5
12110098,928.6
12110099,1432.4
12110100,1016.2
12110101,1054.2
12110102,1814.6
12110103,2677.8
12110104,1553.5
12110105,1545.1
12110106,704.9
12110107,1818.2
12110108,963.7
12110109,77.9
12110110,598.8
12110111,31.3
12110112,202.4
12110113,5.3
12110114,3
12110115,2.8
12110116,16.1
12110117,7.1
12110118,1.6
1212,15.4
12120063,3.5
12120064,5.6
12120065,3.8
12120066,3.6
12120067,0
12120068,13.9
12120069,24.2
12120070,0
12120071,41.7
12120072,44
12120073,37.6
12120074,695.3
12120075,296.6
12120076,2951.6
12120077,2744.8
12120078,455.7
12120079,2053.6
12120080,1298.7
12120081,999
12120082,1944.2
12120083,712.1
12120084,1810.8
12120085,2007.9
12120086,751.4
12120087,2058.4
12120088,1537.5
12120089,871.2
12120090,1827.4
12120091,449.7
12120092,505.8
12120093,200.6
12120094,611.4
12120095,1210.4
12120096,1495.2
12120097,1437.7
12120098,416.6
12120099,1629.8
12120100,362
12120101,159.1
12120102,79.6
12120103,297.3
12120104,787.1
12120105,281.9
12120106,1055.7
12120107,345.8
12120108,28.6
12120109,32
12120110,33.4
12120111,271.6
12120112,1307.3
12120113,1730
12120114,1244.3
12120115,158.8
12120116,436.6
12120117,1283.4
12120118,46.6
12120119,23.2
12120120,23.9
12120121,291.4
12120122,21.2
12120123,14
12120124,509.7
12120125,193.6
12120126,2503.5
12120127,664.4
12120128,1592.9
12120129,1417.6
12120130,294.6
12120131,151.4
12120132,8.2
12120133,29.9
12120134,34.4
12120135,10.9
12120136,16.9
12120137,26.5
12120138,24.6
12120139,16.7
12120140,301.4
12120141,195.1
12120142,48.8
12120143,49.6
12120144,17.7
12120145,26.9
12120146,45.8
12120147,62.3
12120148,3.3
12120149,0.9
12120150,0.9
12120151,5.5
12120152,5.3
12120153,3.2
12120154,2.4
12120155,4.8
12120156,4.4
12120157,13.1
12120158,8.3
1213,1.8
12130021,97.5
12130022,18.8
12130023,1.1
12130024,2.5
12130025,19.7
12130026,0.9
12130027,0.9
12130028,1.7
12130029,2.2
12130030,4
12130031,0.5
12130032,1.9
12130033,1.3
12130034,7.9
12130035,3.5
12130036,132.6
1214,13.8
12140039,24.8
12140040,14.8
12140041,18.7
12140042,21.1
12140043,9.1
12140044,9.6
12140045,17.9
12140046,20.2
12140047,0
12140048,207.4
12140049,3.8
12140050,131.9
12140051,13
12140052,12.3
12140053,179.8
12140054,21.9
12140055,0
12140056,51.8
12140057,440.3
12140058,283.1
12140059,311.5
12140060,1377.7
12140061,2206.1
12140062,1590.1
12140063,1770.7
12140064,2301.2
12140065,1633
12140066,1547.1
12140067,175.6
12140068,27.3
12140069,45.6
12140070,6.3
12140071,3.8
12140072,6.8
12140073,5.5
12140074,3.1
12140075,8.2
12140076,28.9
12140077,14.9
12140078,4
12140079,5.5
12140080,3.6
1215,4.5
12150034,1.5
12150035,73.6
12150036,35
12150037,119.5
12150038,16
12150039,0.6
12150040,30.7
12150041,3.9
12150042,5.3
12150043,1.5
12150044,5
12150045,1.6
12150046,247.4
12150047,361.4
12150048,329.8
12150049,4.2
12150050,4.4
12150051,5.1
12150052,3.2
12150053,0
12150054,129.6
12150055,2.2
12150056,1.8
12150057,1.9
12150058,1.9
12150059,14.7
12150060,10.6
12150061,14.3
12150062,147.1
12150063,1492.5
12150064,1070.4
12150065,1310.3
12150066,344
12150067,364.3
12150068,486.6
12150069,1.9
12150071,6.4
12150072,20.4
12150073,15.4
12150074,2.4
12150075,3
1216,7.2
12160017,1.7
12160019,4.7
12160020,72.1
12160021,32.4
12160022,4
12160023,27.1
12160024,7.5
12160025,4.8
12160026,126.7
12160027,4.9
12160028,17.2
12160029,17.5
12160030,19.8
12160031,33.2
12160032,231.6
12160033,20.2
12160034,2.8
1217,40
12170342,0
12170343,0
12170344,0
12170346,12.2
12170347,515.1
12170348,498.8
12170349,68.7
12170350,322.8
12170352,35.2
12170353,66.4
12170354,20.8
12170355,377.4
12170356,140.3
12170357,410.4
12170358,248.8
12170359,731
12170360,1316
12170361,135.9
12170362,427.9
12170363,1312.9
12170364,11.4
12170365,1306.6
12170366,221
12170367,25.5
12170368,831.5
12170369,154.3
12170370,1706.2
12170371,245.8
12170372,1797.6
12170373,616.4
12170374,1043.8
12170375,83.2
12170376,249.2
12170377,952.5
12170378,1040.4
12170379,1179.8
12170380,91.5
12170381,1410.2
12170382,1530.7
12170383,1504
12170384,415.7
12170385,294.1
12170386,1041.8
12170387,1971.7
12170388,376
12170389,1074.4
12170390,73.5
12170391,164.4
12170392,148.2
12170393,701.6
12170394,55.3
12170395,426.3
12170396,1133.1
12170397,349.4
12170398,536.6
12170399,520.8
12170400,431.1
12170401,25.8
12170402,27.6
12170403,909.4
12170404,485.7
12170405,943.3
12170406,1067.1
12170407,13.7
12170408,662.2
12170409,5.2
12170410,840.3
12170411,195.2
12170412,121
12170413,127.5
12170414,769
12170415,1081.8
12170416,60
12170417,1924.1
12170418,691.9
12170419,2381.9
12170420,1466.2
12170421,3373.1
12170422,2138
12170423,1708
12170424,419.4
12170425,2266.3
12170426,1000.5
12170427,1479.3
12170428,687.3
12170429,30.8
12170430,1360.9
12170431,309.1
12170432,2151.4
12170433,1793.9
12170434,1994
12170435,1952
12170436,961
12170437,515.4
12170438,280.6
12170439,1315.2
12170440,516.6
12170441,1890.5
12170442,240.9
12170443,509.8
12170444,875.8
12170445,204.6
12170446,319.4
12170447,272
12170448,212.5
12170449,1109.7
12170450,1267.2
12170451,912.8
12170452,1037.6
12170453,262.2
12170454,229.4
12170455,2103.1
12170456,701.9
12170457,314.8
12170458,1308.3
12170459,406
12170460,561
12170461,1633.3
12170462,1678.3
12170463,1807.1
12170464,2766.8
12170465,395.9
12170466,381.2
12170467,2663.6
12170468,4044
12170469,744.6
12170470,2474.6
12170471,170.1
12170472,4875.5
12170473,823.5
12170474,2310
12170475,2274
12170476,6.8
12170477,1547.4
12170478,2849.4
12170479,3422
12170480,283.9
12170481,3496.6
12170482,2011.3
12170483,851.7
12170484,3063.5
12170485,2465.2
12170486,1469
12170487,2222.2
12170488,1172.8
12170489,163
12170490,2818.3
12170491,2724.7
12170492,613.5
12170493,1725.6
12170494,3112.1
12170495,1460.1
12170497,1154
12170498,906.6
12170499,1806.7
12170500,473.5
12170501,832.8
12170502,1387.4
12170503,840.2
12170504,753.1
12170505,650.7
12170506,33.1
12170507,499.1
12170508,206.2
12170509,137.4
12170510,7.4
12170511,87.6
12170512,1292.5
12170513,37
12170514,512.3
12170515,241.1
12170516,14.3
12170517,4.7
12170518,11.3
12170519,8.2
12170520,3
12170521,2.3
12170522,2.6
12170523,13.1
12170524,4.2
12170526,1.1
12170527,272.9
12170528,489.4
12170529,14.1
12170530,14.2
12170531,47.6
12170532,6.1
12170533,9.9
12170534,3005.4
12170535,1096.7
12170536,2854.1
12170537,17.1
12170538,48.3
12170540,12.5
12170541,13.2
12170542,43.2
12170543,589.1
12170544,379.4
12170546,745.7
12170547,2.9
1218,2.6
12180020,2.4
12180021,1
12180022,7.8
12180023,24.3
12180024,21.4
12180025,0.6
12180026,7.9
12180027,4.1
12180028,1.4
12180029,359.9
12180030,464.3
12180031,3.2
12180032,2.9
12180033,192.4
12180034,0
12180035,1.4
1301,52.4
13010010,13.8
13010011,84.3
13010012,141.5
13010013,219.4
13010014,966.4
13010015,1520.1
13010016,590.9
13010017,1776.3
13010018,556.6
13010019,1447
13010020,1198.1
13010021,887.2
13010022,4191.5
13010023,270.8
13010024,394.5
13010025,172.4
13010026,674.3
13010027,392.9
13010028,3365.9
13010029,2720.1
13010030,4986.3
13010031,2519.6
13010032,1554.7
13010033,2260.8
13010034,3024.5
13010035,1820.7
