City,DAUID,DGUID,LANDAREA,PRUID
Regina,47060504,2021S051247060504,0.5592,47
Regina,47060505,2021S051247060505,0.4151,47
Regina,47060506,2021S051247060506,0.3512,47
Regina,47060507,2021S051247060507,0.2728,47
Regina,47060509,2021S051247060509,0.2172,47
Regina,47060556,2021S051247060556,0.1861,47
Regina,47060557,2021S051247060557,0.093,47
Regina,47060558,2021S051247060558,0.0742,47
Regina,47060637,2021S051247060637,0.3527,47
Regina,47060638,2021S051247060638,0.1037,47
Regina,47060639,2021S051247060639,0.1112,47
Regina,47060640,2021S051247060640,0.3007,47
Regina,47060641,2021S051247060641,0.1797,47
Regina,47060643,2021S051247060643,0.1597,47
Regina,47060644,2021S051247060644,0.326,47
Regina,47060645,2021S051247060645,0.2526,47
Regina,47060646,2021S051247060646,0.2389,47
Regina,47060647,2021S051247060647,0.0932,47
Regina,47060648,2021S051247060648,0.1027,47
Regina,47060649,2021S051247060649,1.844,47
Regina,47060650,2021S051247060650,4.4637,47
Regina,47060651,2021S051247060651,0.6797,47
Regina,47060652,2021S051247060652,0.1942,47
Regina,47060653,2021S051247060653,0.2192,47
Regina,47060654,2021S051247060654,0.1276,47
Regina,47060655,2021S051247060655,0.2229,47
Regina,47060656,2021S051247060656,0.1869,47
Regina,47060659,2021S051247060659,0.1545,47
Regina,47060660,2021S051247060660,0.6544,47
Regina,47060661,2021S051247060661,0.6233,47
Regina,47060662,2021S051247060662,0.1639,47
Regina,47060663,2021S051247060663,0.3326,47
Regina,47060664,2021S051247060664,0.2782,47
Regina,47060668,2021S051247060668,0.4711,47
Regina,47060669,2021S051247060669,0.4531,47
Regina,47060672,2021S051247060672,0.2451,47
Regina,47060673,2021S051247060673,0.2836,47
Regina,47060674,2021S051247060674,0.2732,47
Regina,47060675,2021S051247060675,0.2797,47
Regina,47060676,2021S051247060676,0.2263,47
Regina,47060677,2021S051247060677,0.3629,47
Regina,47060678,2021S051247060678,2.6878,47
Regina,47060680,2021S051247060680,0.1236,47
Regina,47060681,2021S051247060681,0.0529,47
Regina,47060682,2021S051247060682,0.0902,47
Regina,47060694,2021S051247060694,19.8135,47
Regina,47060696,2021S051247060696,0.6114,47
Regina,47062503,2021S051247062503,7.8127,47
Regina,47062504,2021S051247062504,0.1525,47
Regina,47062505,2021S051247062505,0.1408,47
Regina,47062506,2021S051247062506,1.3352,47
Regina,47062507,2021S051247062507,0.18,47
Regina,47062508,2021S051247062508,0.2704,47
Regina,47062509,2021S051247062509,0.1654,47
Regina,47062510,2021S051247062510,5.6928,47
Regina,47062511,2021S051247062511,0.1958,47
Regina,47062512,2021S051247062512,0.1359,47
Regina,47062513,2021S051247062513,0.0984,47
Regina,47062514,2021S051247062514,1.0959,47
Regina,47062515,2021S051247062515,2.7415,47
Regina,47062516,2021S051247062516,0.252,47
Regina,47062517,2021S051247062517,1.9741,47
Regina,47062518,2021S051247062518,0.1486,47
Regina,47062519,2021S051247062519,0.6767,47
Regina,47062520,2021S051247062520,12.8863,47
Regina,47062521,2021S051247062521,0.2083,47
Regina,47062522,2021S051247062522,0.1529,47
Regina,47062523,2021S051247062523,0.1103,47
Regina,47062524,2021S051247062524,0.2721,47
Regina,47062525,2021S051247062525,0.1067,47
Regina,47062526,2021S051247062526,0.0457,47
Regina,47062527,2021S051247062527,0.0864,47
Regina,47062528,2021S051247062528,0.1202,47
Regina,47062529,2021S051247062529,0.101,47
Regina,47062530,2021S051247062530,0.2678,47
Regina,47062531,2021S051247062531,0.3783,47
Regina,47062532,2021S051247062532,0.5092,47
Regina,47062533,2021S051247062533,0.0384,47
Regina,47062534,2021S051247062534,0.4277,47
Regina,47062535,2021S051247062535,0.0926,47
Regina,47062536,2021S051247062536,0.1053,47
Regina,47062537,2021S051247062537,0.1394,47
Regina,47062543,2021S051247062543,0.1886,47
Regina,47062544,2021S051247062544,0.2086,47
Regina,47062545,2021S051247062545,0.1454,47
Regina,47062546,2021S051247062546,0.1423,47
Regina,47062548,2021S051247062548,0.0685,47
Regina,47062549,2021S051247062549,0.2202,47
Regina,47062550,2021S051247062550,3.0927,47
Regina,47062551,2021S051247062551,0.1148,47
Regina,47062552,2021S051247062552,0.2603,47
Regina,47062553,2021S051247062553,0.1903,47
Regina,47062554,2021S051247062554,0.2258,47
Regina,47062555,2021S051247062555,0.1839,47
Regina,47062556,2021S051247062556,2.7262,47
Regina,47062557,2021S051247062557,0.4511,47
Regina,47062558,2021S051247062558,0.291,47
Regina,47062559,2021S051247062559,0.5967,47
Winnipeg,46110001,2021S051246110001,9.3485,46
Winnipeg,46110002,2021S051246110002,4.9443,46
Winnipeg,46110003,2021S051246110003,0.1639,46
Winnipeg,46110004,2021S051246110004,0.2649,46
Winnipeg,46110005,2021S051246110005,0.158,46
Winnipeg,46110006,2021S051246110006,0.1438,46
Winnipeg,46110007,2021S051246110007,0.1239,46
Winnipeg,46110008,2021S051246110008,0.1375,46
Winnipeg,46110009,2021S051246110009,0.0785,46
Winnipeg,46110010,2021S051246110010,0.2113,46
Winnipeg,46110011,2021S051246110011,0.1245,46
Winnipeg,46110012,2021S051246110012,0.1968,46
Winnipeg,46110013,2021S051246110013,0.0706,46
Winnipeg,46110014,2021S051246110014,0.1084,46
Winnipeg,46110015,2021S051246110015,0.1777,46
Winnipeg,46110016,2021S051246110016,0.2602,46
Winnipeg,46110017,2021S051246110017,0.1633,46
Winnipeg,46110018,2021S051246110018,0.1855,46
Winnipeg,46110019,2021S051246110019,0.1779,46
Winnipeg,46110020,2021S051246110020,0.306,46
Winnipeg,46110021,2021S051246110021,0.23,46
Winnipeg,46110022,2021S051246110022,0.1218,46
Winnipeg,46110023,2021S051246110023,0.1464,46
Winnipeg,46110024,2021S051246110024,0.1864,46
Winnipeg,46110025,2021S051246110025,0.186,46
Winnipeg,46110026,2021S051246110026,0.1416,46
Winnipeg,46110027,2021S051246110027,0.1766,46
Winnipeg,46110028,2021S051246110028,0.1728,46
Winnipeg,46110029,2021S051246110029,0.1813,46
Winnipeg,46110030,2021S051246110030,0.1389,46
Winnipeg,46110031,2021S051246110031,0.1143,46
Winnipeg,46110032,2021S051246110032,0.2061,46
Winnipeg,46110033,2021S051246110033,0.1922,46
Winnipeg,46110034,2021S051246110034,0.1872,46
Winnipeg,46110035,2021S051246110035,0.1559,46
Winnipeg,46110036,2021S051246110036,0.4444,46
Winnipeg,46110037,2021S051246110037,0.1622,46
Winnipeg,46110038,2021S051246110038,0.1081,46
Winnipeg,46110039,2021S051246110039,0.269,46
Winnipeg,46110040,2021S051246110040,0.0855,46
Winnipeg,46110041,2021S051246110041,0.3196,46
Winnipeg,46110042,2021S051246110042,0.2342,46
Winnipeg,46110043,2021S051246110043,0.193,46
Winnipeg,46110044,2021S051246110044,0.1826,46
Winnipeg,46110045,2021S051246110045,0.1366,46
Winnipeg,46110046,2021S051246110046,0.1097,46
Winnipeg,46110047,2021S051246110047,0.1323,46
Winnipeg,46110048,2021S051246110048,0.0686,46
Winnipeg,46110049,2021S051246110049,0.1089,46
Winnipeg,46110050,2021S051246110050,0.1224,46
Winnipeg,46110051,2021S051246110051,0.1138,46
Winnipeg,46110052,2021S051246110052,0.0954,46
