DAUID,Population,Population Density per Square Kilometre,Land Area in Square Kilometre
12040031,15,13.5,1.11
12040033,455,182.5,2.49
12040034,542,57.8,9.38
12040035,416,554.4,0.75
12040036,416,1036.1,0.4
12040037,442,551.1,0.8
12040038,435,172.9,2.52
12040039,920,24.3,37.82
12040040,504,1213,0.42
12040041,451,534.4,0.84
12040042,368,64.4,5.72
12040043,424,19.3,21.93
12040044,560,11.1,50.26
12040045,574,3.4,167.76
12040046,344,12.6,27.4
12040047,388,33,11.75
12040048,364,0.6,656.19
12040049,430,4.9,88.28
12040050,15,254.7,0.06
12040051,333,1.9,179.74
12040052,0,0,0
12040053,566,6.1,92.64
1205,21252,6.7,3183.23
12050044,465,36.5,12.73
12050045,537,424.2,1.27
12050046,470,137.4,3.42
12050047,533,159.2,3.35
12050048,557,49.2,11.32
12050049,630,24,26.29
12050050,555,64,8.67
12050051,368,10.7,34.39
12050052,495,9.6,51.7
12050053,581,339.9,1.71
12050054,808,254.4,3.18
12050055,484,724.8,0.67
12050056,449,32.9,13.67
12050057,609,106.9,5.7
12050058,692,16.9,40.95
12050059,454,27.5,16.5
12050060,349,5.9,59.57
12050061,553,22.3,24.85
12050062,414,4.8,85.56
12050063,528,12,44.03
12050064,462,184.3,2.51
12050065,437,429,1.02
12050066,447,9.9,45
12050067,408,12,33.97
12050068,572,6.6,86.63
12050069,351,2.7,130.81
12050070,357,76.2,4.68
12050071,530,268.3,1.98
12050072,728,11.5,63.51
12050073,444,9.4,47.4
12050074,425,41.3,10.3
12050075,510,8.4,60.62
12050076,15,62,0.24
12050077,361,5,71.76
12050078,405,13.8,29.25
12050080,0,0,0.47
12050082,459,0.4,1210.78
12050083,376,1.1,342.62
12050084,494,1.3,381.43
12050085,451,37.3,12.09
12050086,436,6.7,65.36
12050087,545,80,6.81
12050088,535,8.3,64.18
12050089,578,17,34.01
12050090,0,0,3.1
12050093,395,17,23.22
1206,48599,16.7,2906.47
12060071,0,0,4.05
12060072,444,3.6,123.74
12060073,30,67.5,0.44
12060074,466,2.3,203.2
12060075,291,2.1,139.03
12060077,507,13.1,38.69
12060078,476,14.7,32.41
12060079,476,35.2,13.53
12060080,509,13.5,37.82
12060081,529,7,75.45
12060082,456,12.3,36.95
12060083,483,16.1,30.03
12060084,516,39.6,13.04
12060085,491,35,14.03
12060087,542,146,3.71
12060088,538,353.2,1.52
12060089,769,1033.5,0.74
12060090,722,548.7,1.32
12060091,1204,696.1,1.73
12060092,666,506.5,1.32
12060093,577,2220.9,0.26
12060094,498,2031.8,0.25
12060095,540,1366.7,0.4
12060096,639,1444.1,0.44
12060097,533,999.1,0.53
12060098,421,1696.9,0.25
12060099,348,1519,0.23
12060100,426,1362.8,0.31
12060105,451,20.3,22.26
12060106,550,17.9,30.73
12060107,510,38.4,13.27
12060108,687,606,1.13
12060109,497,256.8,1.94
12060110,357,1182.1,0.3
12060111,382,1556.6,0.25
12060112,473,1120.9,0.42
12060113,610,41.5,14.71
12060114,734,31.6,23.26
12060115,612,37.2,16.46
12060116,432,19.7,21.97
12060118,525,22.6,23.26
12060119,608,17.6,34.55
12060120,545,16.9,32.16
12060124,648,45.5,14.23
12060125,518,13.2,39.37
12060126,861,88.4,9.74
12060128,367,587.5,0.62
12060129,490,37.3,13.13
12060130,576,15,38.46
12060131,530,7.3,72.21
12060132,467,6.5,71.83
12060133,313,1.8,169.28
12060134,481,3.6,132.25
12060135,540,34.5,15.66
12060136,790,182.7,4.32
12060137,572,84.6,6.76
12060138,598,104.4,5.73
12060139,573,64.3,8.91
12060140,81,29.1,2.79
12060141,433,5.4,79.83
12060142,588,5.9,99.54
12060143,527,35.1,15.03
12060144,584,50.5,11.56
12060145,254,268.3,0.95
12060146,392,298.9,1.31
12060147,533,388.4,1.37
12060148,319,800.5,0.4
12060149,811,7.3,111.49
12060150,496,2.3,219.13
12060151,844,17.1,49.3
12060152,456,176.9,2.58
12060153,722,19.8,36.43
12060154,384,39.8,9.66
12060156,444,277.7,1.6
12060157,620,408.6,1.52
12060158,491,40.5,12.13
12060160,556,88.8,6.26
12060161,564,22.4,25.15
12060162,531,14.9,35.6
12060163,565,25.4,22.27
12060166,419,89.2,4.7
12060167,182,43.2,4.21
12060168,473,20.5,23.12
12060169,522,58.4,8.94
12060170,542,31.8,17.06
12060171,264,38.3,6.89
12060172,217,11.1,19.51
12060173,450,5.5,81.67
12060174,242,58.5,4.14
12060176,648,4.7,138.41
12060177,137,118.1,1.16
12060178,281,15.6,17.97
12060179,431,28.4,15.2
12060180,36,17.9,2.01
12060181,428,44.8,9.56
12060182,75,109.8,0.68
12060183,21,38.3,0.55
12060184,15,3.7,4.03
12060185,432,102.4,4.22
12060186,429,7.1,60.56
12060187,122,18.7,6.53
12060188,290,8.3,34.91
12060190,354,4.4,79.99
1207,62914,29.7,2120.31
12070081,486,6.5,75.24
12070082,460,22.2,20.77
12070083,478,84,5.69
12070084,404,139.2,2.9
12070085,381,19.3,19.78
12070086,678,52.7,12.86
12070087,804,316.6,2.54
12070088,938,240.4,3.9
12070089,423,63.9,6.62
12070090,449,1387.9,0.32
12070091,742,1482.2,0.5
12070092,433,1467.8,0.3
12070093,449,2084.5,0.22
12070094,684,1751.2,0.39
12070095,416,1370.7,0.3
12070096,916,665.4,1.38
12070097,486,1610.9,0.3
12070098,678,283.5,2.39
12070099,556,208.3,2.67
12070100,452,2226.6,0.2
12070101,243,144.5,1.68
12070102,619,1025.9,0.6
12070103,589,1121.1,0.53
12070104,347,1384.7,0.25
12070105,863,408.8,2.11
12070106,406,1075.2,0.38
12070107,368,879.5,0.42
12070108,553,68.9,8.02
12070109,391,27.4,14.29
12070110,679,89.1,7.62
12070111,379,24.5,15.48
12070112,920,209.3,4.4
12070113,941,208.4,4.52
12070114,383,926.9,0.41
12070115,512,23.6,21.66
12070116,524,178.7,2.93
12070117,617,449.6,1.37
12070118,488,48.4,10.09
12070119,635,172.2,3.69
12070120,452,218,2.07
12070121,554,40.3,13.74
12070122,412,25.5,16.18
12070123,476,10.3,46.34
12070124,429,11.7,36.61
12070125,367,12.3,29.88
12070126,444,21.4,20.76
12070127,544,19.6,27.81
12070128,495,41.9,11.81
12070129,438,170.7,2.57
12070130,393,92.9,4.23
12070131,736,80.1,9.19
12070132,743,1148.6,0.65
12070133,577,14.2,40.75
12070134,497,26,19.08
12070135,318,115.5,2.75
12070136,517,825.5,0.63
12070137,549,992.4,0.55
12070138,447,759.9,0.59
12070139,624,310.2,2.01
12070140,406,30.6,13.25
12070141,468,43.8,10.69
12070142,503,8,63.11
12070143,723,66.4,10.89
12070144,331,4.5,73.25
12070145,792,297.4,2.66
12070146,480,836.7,0.57
12070147,556,182.9,3.04
12070148,495,339.1,1.46
12070149,366,41.5,8.81
12070150,556,3.2,175.36
12070151,607,16.8,36.21
12070152,524,4.8,108.3
12070153,442,27.3,16.17
12070154,424,32,13.24
12070155,672,107.5,6.25
12070156,696,832,0.84
12070157,701,790.9,0.89
12070158,685,387.2,1.77
12070159,984,981.8,1
12070160,634,1229.2,0.52
12070161,716,2187.6,0.33
12070162,641,573.1,1.12
12070163,510,24.7,20.61
12070164,496,35.8,13.84
12070165,443,37.6,11.79
12070166,547,47.1,11.61
12070167,626,101.8,6.15
12070168,469,13.6,34.4
12070169,111,64.9,1.71
12070170,0,0,0.12
12070171,599,2.1,280.84
12070172,514,3.1,167.42
12070173,502,4.1,122.07
12070174,483,43.4,11.14
12070175,669,322.1,2.08
12070176,431,1524,0.28
12070177,614,1044.4,0.59
12070178,591,313.5,1.89
12070179,455,734.5,0.62
12070180,915,319.7,2.86
12070181,460,263.3,1.75
12070182,416,981.4,0.42
12070183,466,771.4,0.6
12070184,564,31.2,18.05
12070185,830,769.3,1.08
12070186,847,218.4,3.88
12070187,600,65.7,9.13
12070188,518,31.4,16.49
12070189,508,33.6,15.14
12070190,563,162.5,3.46
12070191,583,67.1,8.69
12070192,600,17.3,34.67
12070193,691,6.7,102.38
12070194,618,10.9,56.9
12070195,491,8.2,60
1208,45140,14.8,3049.18
12080056,636,3.8,165.86
12080057,492,4.6,105.81
12080058,2186,588.3,3.72
12080059,553,68.8,8.03
12080061,0,0,0.4
12080063,492,112.3,4.38
12080064,537,320.7,1.67
12080065,760,1092.6,0.7
12080069,656,726.8,0.9
12080070,410,1899,0.22
12080071,1143,62.3,18.35
12080072,997,10.6,93.98
12080073,961,575.1,1.67
12080074,684,1259,0.54
12080076,594,7.2,81.94
12080077,815,12.2,66.99
12080078,503,3.5,142.03
12080079,477,8.8,54.15
12080080,518,3.4,153.19
12080081,521,5.9,87.63
12080082,536,11.9,44.93
12080083,563,5.5,102.59
12080084,623,17.7,35.25
12080085,748,22.6,33.13
12080086,508,31.9,15.94
12080087,717,31.8,22.58
12080088,849,3,284.33
12080089,438,33.8,12.94
12080090,592,149.7,3.96
