DAUID,Residential instability Scores,Ethno-cultural composition Scores,Economic dependency Scores,Situational vulnerability Scores
12070133,-0.867,-0.897,0.217,-0.005
12070134,-0.567,-0.746,-0.131,0.227
12070135,-0.233,-1.117,0.416,-0.243
12070136,0.222,-0.921,2.039,-0.514
12070137,0.535,-0.45,0.317,0.591
12070138,0.505,-0.796,1.449,0.272
12070139,0.033,-0.503,0.513,-0.319
12070140,-0.325,-0.928,0.052,0.646
12070141,-0.733,-0.888,0.056,0.047
12070142,-0.873,-0.846,0.755,0.498
12070143,-0.158,-0.657,0.699,1.028
12070144,-0.626,-0.824,-0.484,0.063
12070145,-0.364,-0.706,0.048,-0.332
12070146,-0.601,-0.884,-0.192,-0.463
12070147,-0.496,-0.812,0.202,-0.231
12070148,-0.65,-0.593,-0.771,-0.786
12070149,-0.567,-0.964,-0.111,0.094
12070150,-0.467,-0.888,-0.266,-0.082
12070151,-0.651,-0.979,0.088,-0.138
12070152,-1.071,-0.751,1.122,0.307
12070153,-0.517,-0.857,0.521,0.042
12070154,-0.502,-0.767,-0.096,-0.264
12070155,0.083,-0.711,0.286,0.088
12070156,0.568,-0.572,-0.19,0.051
12070157,1.205,-0.158,-0.156,0.404
12070158,1.6,-0.753,0.834,-0.661
12070159,1.915,-0.628,2.147,-0.864
12070160,0.64,-0.274,-0.573,-0.34
12070161,2.414,-0.303,-0.719,0.457
12070162,0.011,-0.488,0.57,-0.581
12070163,-0.923,-1.054,0.673,-0.601
12070164,-0.224,-0.885,0.395,-0.628
12070165,-0.251,-0.81,-0.127,0.707
12070166,0.099,-0.862,0.562,-0.5
12070167,-0.813,-0.746,0.779,-0.206
12070168,-0.835,-0.85,-0.061,0.503
12070169,0.36,-0.358,0.006,3.742
12070171,-0.529,-0.9,2.466,0.016
12070172,-0.724,-0.699,0.381,0.644
12070173,-1.11,-1.134,0.205,-0.74
12070174,-0.613,-0.89,0.252,-0.338
12070175,-0.087,-1.001,-0.583,-0.337
12070176,-0.799,-0.876,2.051,-0.278
12070177,1.074,-0.748,-2.416,0.054
12070178,0.687,-0.722,-1.298,0.236
12070179,0.677,-0.72,-1.922,0.222
12070180,-0.028,-0.811,-0.053,-0.063
12070181,0.665,-0.876,1.515,0.393
12070182,0.821,-0.289,1.778,0.264
12070183,0.679,-0.637,0.723,1.049
12070184,-0.622,-0.955,-0.185,-0.349
12070185,-0.74,-1.002,-0.744,-0.543
12070186,-0.443,-1.066,-0.929,-0.396
12070187,-0.4,-0.823,-0.476,0.758
12070188,-0.37,-1.066,0.672,0.061
12070189,-0.405,-0.88,0.301,0.446
12070190,0.127,-0.927,0.645,0.508
12070191,-0.088,-0.797,0.101,-0.009
12070192,-0.619,-0.893,-0.62,-0.177
12070193,-0.674,-0.802,0.636,-0.021
12070194,-0.677,-0.92,1.288,0.16
12070195,-0.969,-0.891,0.694,0.192
12080056,-0.606,-0.972,1.198,0.64
12080057,-0.504,-0.82,-0.403,0.429
12080058,0.291,-0.774,-0.225,1.51
12080059,-0.037,-0.153,0.793,6.811
12080063,-0.096,-0.601,-0.529,0.075
12080064,0.254,-0.611,0.417,0.123
12080065,-0.895,-0.698,-0.372,-0.313
12080069,-0.08,-0.747,-0.794,0.31
12080070,-0.894,-0.844,-1.574,0.188
12080071,-1.147,-0.772,-0.944,-0.239
12080072,-0.835,-0.847,-0.653,-0.3
12080073,0.506,-0.609,0.425,0.334
12080074,-0.657,-0.958,-0.969,-0.467
12080076,-0.578,-0.778,-0.447,-0.304
12080077,-0.636,-0.781,-0.743,-0.266
12080078,-0.599,-0.728,0.19,0.405
12080079,-0.649,-0.781,-0.132,0.905
12080080,-0.207,-0.97,-0.053,0.489
12080081,-0.404,-0.943,0.879,0.647
12080082,-0.447,-0.872,0.055,0.464
12080083,-0.742,-0.842,0.459,-0.497
12080084,-1.039,-0.891,-0.478,0.025
12080085,-0.749,-1.092,-0.576,0.289
12080086,-0.895,-0.903,-0.481,-0.328
12080087,-0.885,-0.885,-0.087,-0.196
12080088,-0.489,-0.69,1.273,0.763
12080089,-0.786,-0.44,-0.087,0.783
12080090,-0.627,-0.735,0.034,0.349
12080091,0.114,-0.866,1.95,-0.165
12080092,-0.131,-0.713,0.925,0.326
12080093,0.948,-0.686,0.801,0.671
12080094,0.531,-0.827,-0.382,0.583
12080095,1.034,-0.037,1.241,0.339
12080096,1.094,-0.641,0.465,0.838
12080097,0.526,-1.04,1.878,-0.626
12080098,0.538,-0.674,-0.26,1.1
12080099,-0.532,-0.79,0.11,0.823
12080100,-0.674,-0.99,-0.08,-0.656
12080101,-0.66,-0.86,-0.195,-0.633
12080102,-0.91,-0.927,0.052,-0.306
12080103,-0.827,-0.947,-0.346,0.286
12080104,-0.637,-0.898,0.228,-0.263
12080105,0.104,-0.733,1.211,0.228
12080106,-0.861,-0.849,0.187,0.42
12080107,-0.327,-0.711,0.762,0.604
12080108,-0.162,-1.071,0.487,0.478
12080109,-0.288,-0.943,1.161,0.735
12080110,0.124,-0.987,0.983,0.75
12080111,-0.425,-1.087,0.362,0.634
12080112,-0.54,-0.133,1.667,1.705
12080113,-0.709,-0.515,-0.324,0.803
12080114,-0.669,-0.951,0.59,0.372
12080115,-0.847,-0.768,-0.719,0.266
12080116,-0.572,-0.832,-0.282,0.563
12080117,-0.635,-0.871,0.637,0.018
12080118,-0.666,-0.834,0.522,0.382
12080119,-0.624,-1.015,-0.323,-0.102
12080120,-0.879,-0.954,-0.234,-0.227
12080121,-1.083,-0.909,-0.987,-0.793
12080122,-0.652,-0.718,-0.57,0.454
12080123,-0.935,-0.872,-1.161,-0.677
12080127,-0.365,-0.822,-0.905,-0.486
12080128,-0.36,-0.529,-0.169,-0.14
12080129,0.279,-0.801,-1.158,-0.298
12080131,-0.683,-0.8,1.314,-0.622
12080132,-0.656,-0.768,-0.547,-0.251
12080133,-0.769,-0.639,-0.467,0.1
12090103,-0.325,-0.71,0.387,-0.768
12090104,-1.257,-0.909,-0.731,-0.608
12090105,-0.406,-0.599,-0.19,-0.32
12090106,-0.574,0.018,-1.911,-1.06
12090108,-1.187,-0.228,-0.773,-1.256
12090114,1.1,-0.451,-1.165,0.231
12090115,-0.518,-0.347,-0.784,-0.655
12090116,0.406,-0.304,0.114,-0.583
12090117,0.123,-0.829,0.654,-0.404
12090118,-0.311,-0.616,0.041,-0.618
12090119,-1.039,-0.361,0.077,-1.08
12090120,-1.217,-0.721,-1.404,-1.076
12090121,-1.101,-0.818,-1.145,-0.895
12090122,0.069,-0.67,-0.539,-0.17
12090123,-0.396,-0.653,-1.353,-0.743
12090128,-1.287,-0.86,-0.29,-0.763
12090130,-0.916,-0.823,-1.486,-0.756
12090131,-1.246,-0.766,-0.601,-0.705
12090132,0.869,-0.906,-0.717,-0.203
12090133,-1.137,-0.759,-0.695,-0.12
12090134,-0.833,-0.772,-0.517,-0.721
12090135,1.395,0.342,-1.141,1.206
12090136,-0.651,-0.306,0.399,-0.705
12090137,-0.439,-0.761,0.624,-0.107
12090138,0.657,-0.586,-0.367,0.174
12090139,-0.174,-0.752,0.668,0.66
12090140,1.509,1.122,-0.576,1.778
12090141,2.368,0.345,-0.281,2.864
12090142,0.418,0.242,0.194,2.424
12090143,-0.704,-0.553,-0.223,0.333
12090144,-0.392,-0.541,-0.566,-0.171
12090145,0.036,-0.48,-0.45,0.949
12090146,-0.614,-0.524,-0.44,0.302
12090147,-0.574,-0.661,0.453,-0.339
12090148,-0.448,-0.182,0.174,-0.182
12090149,-0.593,-0.697,-0.006,0.702
12090150,-0.807,-0.841,-0.536,0.003
12090152,-1.056,-0.677,0.149,-0.402
12090153,1.473,-0.541,-1.181,0.375
12090154,-0.046,-0.948,-0.924,-0.486
12090158,-0.396,-0.708,0.963,0.186
12090159,-0.266,-1.068,-0.426,-0.563
12090160,-0.613,-0.997,-0.5,-0.439
12090161,0.036,-0.825,0.14,-0.248
12090162,0.08,-0.629,0.194,-0.77
12090163,0.105,-0.681,-0.849,1.062
12090164,1.331,-0.134,-0.342,1.02
12090165,0.096,-0.741,0.422,-0.301
12090166,-0.787,-0.722,-0.057,-1.103
12090167,0.12,-0.959,0.266,-0.222
12090168,1.899,0.729,-1.013,0.248
12090169,0.559,-0.152,-0.68,-0.28
12090170,-0.55,-0.825,-1.366,-0.475
12090171,0.591,-0.829,-0.926,-0.949
12090172,2.312,-0.991,1.539,-0.371
12090175,2.684,-0.769,2.18,-0.361
12090176,-0.277,-0.775,-0.79,-0.37
12090177,1.521,-0.856,-0.406,-0.669
12090178,2.052,-0.728,1.562,-0.402
12090179,-1.068,-0.77,-0.024,-0.716
12090182,-0.726,-0.752,0.144,-0.974
12090183,1.628,-0.685,0.466,-0.964
12090184,1.056,-0.962,0.86,-0.84
12090185,1.086,-0.477,0.623,-0.91
12090186,-0.282,-0.738,-0.378,-0.247
12090187,0.323,-0.881,-0.353,0.077
12090188,1.95,1.203,-1.454,0.966
12090189,0.254,-0.809,-0.702,-0.158
12090190,-0.961,-0.607,-0.41,-0.05
12090191,-0.946,-0.699,-0.204,-0.563
12090192,-0.674,-0.904,-0.096,-0.641
12090193,0.522,-0.076,-0.942,0.12
12090194,1.903,-0.09,0.027,0.895
12090195,2.566,1.084,-0.299,0.756
12090196,2.48,0.087,0.088,1.439
12090197,-0.839,-0.617,-0.543,-0.332
12090198,0.956,0.316,-0.506,0.353
12090199,0.413,-0.321,0.373,-0.659
12090200,-0.518,-0.966,-1.29,-0.644
12090201,1.198,-0.364,-0.564,-0.315
12090202,1.799,0.698,-0.522,1.347
12090203,0.025,-0.661,-0.946,0.143
12090204,0.792,-0.517,-1.141,-0.5
12090205,2.646,-0.356,-0.73,0.47
12090206,1.616,-0.724,0.236,-0.288
12090209,1.82,-0.188,0.007,2.388
12090210,1.937,-0.222,-0.304,1.542
12090211,1.433,0.056,-0.372,1.301
12090212,-0.05,-0.78,0.148,0.047
12090213,3.35,0.253,0.226,1.047
12090214,2.79,-0.315,-0.015,1.541
12090215,2.118,0.594,-0.62,2.043
12090216,2.313,0.281,-1.091,1.332
12090217,3.215,-0.607,-1.264,0.171
12090220,1.596,-0.408,-1.167,0.267
12090223,1.024,-0.26,-1.389,-0.331
12090224,0.595,-0.515,0.006,0.315
12090225,0.591,-0.621,-0.764,-0.11
12090226,-0.172,-0.771,-1.272,-0.106
12090227,-0.037,-0.73,-0.712,-0.067
12090228,1.654,0.014,-0.697,-0.284
12090229,-0.062,-0.625,-0.877,-0.143
12090230,1.664,-0.442,1.71,-0.145
12090231,1.259,-0.573,-0.694,-0.479
12090232,1.921,-0.357,-0.936,-0.024
12090241,0.546,-0.848,-1.133,-0.385
12090244,1.479,-0.785,1.035,-0.481
12090245,-0.89,-0.751,-0.475,-0.672
12090246,-0.516,-0.77,-0.982,-0.788
12090247,-0.106,-0.722,-0.855,-0.469
12090248,1.391,-0.564,-0.655,-0.084
12090249,-0.208,-0.724,-0.185,-0.648
12090250,-0.282,-0.732,-0.566,-0.826
12090251,1.297,-0.774,1.829,-1.29
12090252,0.243,-0.543,1.072,-0.796
12090253,0.822,-0.646,-0.264,0.725
12090254,1.259,-0.376,-0.894,0.36
12090255,-0.169,-0.363,-0.845,0.111
12090256,2.529,-0.565,1.397,-0.003
12090259,0.806,-0.943,-0.11,0.05
12090260,0.652,-0.873,-0.775,0.663
12090261,1.679,0.158,0.391,0.361
12090262,0.014,-0.391,-1.166,-0.561
12090263,-0.66,-0.675,0.15,-0.601
12090264,0.863,0.432,-0.255,0.545
12090265,1.647,-0.205,-0.354,1.201
12090267,0.772,-0.318,-0.102,0.734
12090270,0.929,0.587,0.686,2.153
12090271,1.341,1.415,0.297,4.969
12090272,0.601,0.388,-0.446,1.363
12090273,0.142,-0.863,0.23,0.003
12090277,0.093,-0.503,1.044,-1.151
12090279,-1.124,-0.086,-0.71,-1.245
12090280,0.086,-0.162,-0.659,-0.799
12090281,-0.166,-0.055,-0.378,-1.197
12090282,1.851,-0.113,-0.501,0.244
12090291,1.793,0.964,-1.316,-0.251
12090292,-0.827,-0.091,1.128,-0.814
12090293,-1.088,-0.45,-1.203,-0.859
12090294,-1.153,0.121,-1.421,-1.224
12090295,2.326,0.283,-1.624,-0.103
12090296,3.546,0.549,-0.988,0.081
12090297,3.27,0.071,-1.304,-0.195
12090298,3.186,-0.486,-0.889,-0.621
12090311,0.538,-0.277,-0.562,-0.427
12090312,1.938,-0.186,-1.389,-0.281
12090313,0.89,-0.218,-0.771,-0.424
12090324,-0.072,-0.686,-1.166,-1.167
12090325,-1.265,-0.619,-1.468,-0.914
12090326,0.085,-0.667,-0.512,-0.798
12090327,0.59,-0.205,-1.242,0.174
12090328,2.186,-0.179,-0.843,-0.31
12090329,0.874,-0.409,-1.133,-0.275
12090330,1.962,-0.154,-0.64,-0.266
12090331,-0.612,0.212,-1.138,-1.159
12090332,1.041,-0.508,-0.742,-0.72
12090333,0.606,-0.499,-1.291,-0.959
12090334,0.666,-0.294,-0.917,-0.157
12090335,-0.524,-0.537,-1.354,-0.682
12090336,0.715,-0.458,-0.308,-0.384
